267,17
295,17
382,10
327,20
412,24
394,11
191,17
284,14
75,12
313,18
368,6
389,16
30,22
356,23
128,21
57,15
369,12
61,7
220,7
37,8
370,21
28,6
182,23
53,22
127,19
93,22
254,17
246,7
20,6
205,11
385,14
273,23
18,9
175,23
405,9
76,22
138,13
46,17
25,15
214,15
143,8
371,21
168,21
318,10
162,24
261,11
174,15
215,23
397,8
217,24
411,8
237,15
82,17
26,17
194,15
15,10
148,17
111,13
120,9
260,19
329,5
129,16
42,19
286,9
186,24
285,11
121,21
234,5
235,22
178,15
52,19
169,5
6,22
67,11
185,6
335,17
156,6
316,12
330,14
149,24
417,11
350,24
253,12
48,18
51,8
77,20
216,14
204,18
277,19
80,18
136,22
64,9
358,21
319,14
274,15
109,21
342,11
250,20
144,6
310,5
249,5
290,12
242,13
183,18
96,15
112,20
323,10
164,10
29,9
307,20
4,14
251,12
180,8
161,19
203,5
118,15
97,6
407,14
