267,pollo,carne,6605
357,mouse,producto tecnologico,14549
295,manzana,frutas,11013
158,hamburguesa de pollo,hamburguesa,10287
379,hamburguesa de vacuno,hamburguesa,11754
382,kiwi,frutas,10967
367,teclado,producto tecnologico,7331
327,hallulla,pan,6887
83, frutillas en conserva,fruta en conserva,12139
412,marraqueta,pan,14464
384,pantalla lineas,pantalla de luz,13539
394,limon,verduras,5808
150,salmon,pescado congelado,6044
331,lenguado,pescado congelado,6376
191,marraqueta,pan,6589
151,cerdo congelado,carne congelada,13962
284,marraqueta,pan,14433
13,esparragos frasco,verdura en conserva,14537
257,pantalon,ropa,12445
41,hamburguesa de verduras,hamburguesa,13789
40,pantalla lisa,pantalla de luz,11843
75,lechuga,verduras,7914
32,pantalla para colgar,pantalla de luz,6200
104,chaqueta,ropa,9435
313,platano,frutas,12727
171,mix de frutas en conserva,fruta en conserva,8658
399,mouse,producto tecnologico,14474
401,arvejas congeladas,verduras congeladas,14782
400,mix de verduras congeladas,verduras congeladas,13648
368,limon,verduras,12932
167,hamburguesa de vacuno,hamburguesa,9224
389,manzana,frutas,7436
341,pollo congelado,carne congelada,10534
352,mix de frutas en conserva,fruta en conserva,14348
30,vacuno,carne,8973
356,kiwi,frutas,14585
128,pavo,carne,9003
378,televisor,producto tecnologico,10657
57,cerdo,carne,7160
110,pantalla papel,pantalla de luz,9914
63,arvejas congeladas,verduras congeladas,14607
9,hamburguesa de verduras,hamburguesa,11678
163,carne molida,carne congelada,7134
369,tomate,verduras,13568
61,vacuno,carne,5898
39,merlusa,pescado congelado,10053
381,pantalla para colgar,pantalla de luz,8882
220,manzana,frutas,11649
256,porotos congelados,verduras congeladas,14619
92,garbanzos en conserva,verdura en conserva,11554
302,teclado,producto tecnologico,8227
275,pantalla lisa,pantalla de luz,13875
116,cerdo congelado,carne congelada,11027
376,arvejas en conserva,verdura en conserva,14460
37,cerdo,carne,13208
370,pera,frutas,14775
122,porotos congelados,verduras congeladas,11540
219,papaya en conserva,fruta en conserva,13561
28,cerdo,carne,12064
135,arvejas congeladas,verduras congeladas,9491
182,manzana,frutas,14158
332,pantalla lisa,pantalla de luz,7833
87,teclado,producto tecnologico,12613
142,mix de frutas en conserva,fruta en conserva,5219
344,pantalla para colgar,pantalla de luz,11629
53,durazno,frutas,5640
73,pantalla lineas,pantalla de luz,8949
102,televisor,producto tecnologico,5303
351,vacuno congelado,carne congelada,11224
360,pantalla papel,pantalla de luz,11751
348,mouse,producto tecnologico,14046
218,hamburguesa de pollo,hamburguesa,8248
244,pantalla para colgar,pantalla de luz,5174
278,camiseta,ropa,9381
315,pantalla lisa,pantalla de luz,13048
291,arvejas congeladas,verduras congeladas,9580
303,pantalla lisa,pantalla de luz,14182
127,pan de molde,pan,9653
229,merlusa,pescado congelado,8380
176,salmon,pescado congelado,6261
314,pavo congelado,carne congelada,12293
93,pan de molde,pan,11181
5,mix de verduras congeladas,verduras congeladas,11791
297,pantalla para colgar,pantalla de luz,6596
7,pantalla lineas,pantalla de luz,10802
133,reineta,pescado congelado,7700
254,kiwi,frutas,7974
226,carne molida,carne congelada,5033
208,telefono,producto tecnologico,9760
0,merlusa,pescado congelado,8706
181,hamburguesa de verduras,hamburguesa,5304
62, frutillas en conserva,fruta en conserva,6958
160,merlusa,pescado congelado,10910
246,pollo,carne,9006
409,pantalla lineas,pantalla de luz,12158
340,pantalla para colgar,pantalla de luz,5107
20,cerdo,carne,12012
22,televisor,producto tecnologico,5912
119,hamburguesa de vacuno,hamburguesa,12701
187,carne molida,carne congelada,12944
312,pantalla papel,pantalla de luz,6898
205,lechuga,verduras,5224
404,mix de verduras congeladas,verduras congeladas,14681
385,limon,verduras,11324
192,telefono,producto tecnologico,12648
279,merlusa,pescado congelado,9334
245,pantalla lisa,pantalla de luz,6627
273,hallulla,pan,12150
154,telefono,producto tecnologico,13859
18,palta,verduras,14117
60,pantalla para colgar,pantalla de luz,8436
78,hamburguesa de quinoa,hamburguesa,7460
308,mix de verduras congeladas,verduras congeladas,6920
414,pantalla lineas,pantalla de luz,11871
298,vestido,ropa,5065
326,esparragos frasco,verdura en conserva,14352
175,hallulla,pan,11970
405,pavo,carne,7717
76,manzana,frutas,9326
396,porotos congelados,verduras congeladas,8296
363,jeans,ropa,7348
1,mix de frutas en conserva,fruta en conserva,10730
140,teclado,producto tecnologico,6971
292,vacuno congelado,carne congelada,12122
16,hamburguesa de quinoa,hamburguesa,5914
311,vestido,ropa,14898
377,telefono,producto tecnologico,14256
222,vestido,ropa,10689
38,cerdo congelado,carne congelada,5036
153,pantalla papel,pantalla de luz,8665
224,camiseta,ropa,12133
138,marraqueta,pan,9334
211,hamburguesa de quinoa,hamburguesa,13949
264,hamburguesa de vacuno,hamburguesa,14847
46,palta,verduras,13279
94,pollo congelado,carne congelada,6136
25,lechuga,verduras,7704
214,cerdo,carne,6063
143,vacuno,carne,13742
66,vacuno congelado,carne congelada,12014
402,salmon,pescado congelado,6712
371,marraqueta,pan,11380
168,hallulla,pan,6062
209,televisor,producto tecnologico,10968
238,reineta,pescado congelado,10784
366,pantalla papel,pantalla de luz,8830
318,pavo,carne,6208
79,teclado,producto tecnologico,5555
3,merlusa,pescado congelado,13317
268,teclado,producto tecnologico,12598
101,mix de verduras congeladas,verduras congeladas,8253
334,pantalla lineas,pantalla de luz,9860
33, frutillas en conserva,fruta en conserva,9530
162,pollo,carne,9026
304,jeans,ropa,8403
392,arvejas en conserva,verdura en conserva,13884
74,pantalla lisa,pantalla de luz,14478
35,hamburguesa de vacuno,hamburguesa,13174
301,carne molida,carne congelada,6414
380,reineta,pescado congelado,6388
261,palta,verduras,13207
198,mouse,producto tecnologico,12730
85,salmon,pescado congelado,9211
206,lenguado,pescado congelado,8200
125,teclado,producto tecnologico,6734
174,vacuno,carne,14113
215,durazno,frutas,9245
113,hamburguesa de verduras,hamburguesa,8820
36,lenguado,pescado congelado,12514
397,palta,verduras,13962
70,vacuno congelado,carne congelada,14623
157,hamburguesa de pollo,hamburguesa,14465
34,mix de verduras congeladas,verduras congeladas,13386
252,pavo congelado,carne congelada,6840
98,teclado,producto tecnologico,5890
49,televisor,producto tecnologico,11837
408,garbanzos en conserva,verdura en conserva,12008
84,pantalla lisa,pantalla de luz,14987
217,pollo,carne,13965
269,televisor,producto tecnologico,11826
166,reineta,pescado congelado,12040
388,hamburguesa de vacuno,hamburguesa,8376
375,pollo congelado,carne congelada,7447
411,durazno,frutas,11230
172,polera,ropa,11996
68,camisa,ropa,5009
21,televisor,producto tecnologico,12324
266,poleron,ropa,11997
237,marraqueta,pan,6179
293,vacuno congelado,carne congelada,7891
265,telefono,producto tecnologico,6947
195,reineta,pescado congelado,8674
347,salmon,pescado congelado,5361
134,jeans,ropa,10305
45,salmon,pescado congelado,10211
82,durazno,frutas,9861
26,manzana,frutas,7438
194,hallulla,pan,9444
321,esparragos frasco,verdura en conserva,9752
210,pantalla lisa,pantalla de luz,7658
15,durazno,frutas,13302
107,esparragos frasco,verdura en conserva,7134
355,mix de frutas en conserva,fruta en conserva,12120
258,chaqueta,ropa,13813
148,palta,verduras,9424
270,hamburguesa de verduras,hamburguesa,12794
95,esparragos frasco,verdura en conserva,9882
353,pavo congelado,carne congelada,7137
309,carne molida,carne congelada,5014
165,camiseta,ropa,10613
123,choclo congelado,verduras congeladas,14418
338,mix de frutas en conserva,fruta en conserva,10464
413,durazno en conserva,fruta en conserva,12428
247,poleron,ropa,12512
248,pantalla para colgar,pantalla de luz,8944
111,lechuga,verduras,8330
81,hamburguesa de vacuno,hamburguesa,8644
55,mouse,producto tecnologico,6334
283,telefono,producto tecnologico,12515
287,carne molida,carne congelada,14751
56,lenguado,pescado congelado,5173
89,pantalla lineas,pantalla de luz,6647
120,marraqueta,pan,13520
300,durazno en conserva,fruta en conserva,5467
231,jeans,ropa,13914
398,pantalla papel,pantalla de luz,14579
184,hamburguesa de vacuno,hamburguesa,6871
131,cerdo congelado,carne congelada,8452
416,esparragos frasco,verdura en conserva,6807
44,lenguado,pescado congelado,12660
260,limon,verduras,10707
329,hallulla,pan,12550
90,mix de verduras congeladas,verduras congeladas,9916
129,pan de molde,pan,10062
272,salmon,pescado congelado,6760
236,mouse,producto tecnologico,11941
27,hamburguesa de pollo,hamburguesa,13436
42,cerdo,carne,6686
23,arvejas congeladas,verduras congeladas,12666
320,pantalla lineas,pantalla de luz,8495
349, frutillas en conserva,fruta en conserva,7657
19,durazno en conserva,fruta en conserva,8421
286,manzana,frutas,13091
262,lenguado,pescado congelado,14080
372,mouse,producto tecnologico,9082
197,pantalla papel,pantalla de luz,10497
186,lechuga,verduras,13393
415,pantalla lineas,pantalla de luz,8289
126,teclado,producto tecnologico,12241
285,durazno,frutas,13057
403,vestido,ropa,11750
121,pan de molde,pan,7108
11,papaya en conserva,fruta en conserva,7060
322,mix de verduras congeladas,verduras congeladas,11198
31,papaya en conserva,fruta en conserva,8954
234,brocoli,verduras,10802
386,carne molida,carne congelada,7866
137,jeans,ropa,11374
202,garbanzos en conserva,verdura en conserva,14323
159,esparragos frasco,verdura en conserva,13153
235,vacuno,carne,8664
305,teclado,producto tecnologico,9834
294,pollo congelado,carne congelada,10551
178,manzana,frutas,13975
200,hamburguesa de verduras,hamburguesa,5681
88,mouse,producto tecnologico,12978
99,arvejas congeladas,verduras congeladas,12265
12,mix de frutas en conserva,fruta en conserva,9432
199,garbanzos en conserva,verdura en conserva,9115
228, frutillas en conserva,fruta en conserva,13599
390,vacuno congelado,carne congelada,12201
354,pollo congelado,carne congelada,8252
230,pantalla para colgar,pantalla de luz,5925
239,merlusa,pescado congelado,8602
52,manzana,frutas,7327
325,cerdo congelado,carne congelada,8676
169,hallulla,pan,12245
299,arvejas congeladas,verduras congeladas,7343
106,pantalla papel,pantalla de luz,8041
