158,3.71
379,1.87
150,3.53
331,1.21
151,2.29
41,3.86
401,2.48
400,4.55
167,2.74
341,4.13
63,3.93
9,3.01
163,3.66
39,4.86
256,1.09
116,2.27
122,3.16
135,2.42
351,4.69
218,1.39
291,3.57
229,4.96
176,2.72
314,3.25
5,1.61
133,4.5
226,2.01
0,4.82
181,2.48
160,3.21
119,1.52
187,2.4
404,1.66
279,1.41
78,3.82
308,1.33
396,4.65
292,1.41
16,2.2
38,2.67
211,2.31
264,1.01
94,1.14
66,1.35
402,4.51
238,3.84
3,2.03
101,3.95
35,3.37
301,4.15
380,4.72
85,4.93
206,2.33
113,1.24
36,4.0
70,3.94
157,2.41
34,4.15
252,1.6
166,3.73
388,1.73
375,2.31
293,1.44
195,2.9
347,1.66
45,1.69
270,2.99
353,2.29
309,1.25
123,2.32
81,4.55
287,2.47
56,2.6
184,1.5
131,2.73
44,3.44
90,2.52
272,3.85
27,2.03
23,2.44
262,1.7
322,1.12
386,2.83
294,4.93
200,4.37
99,1.51
390,3.58
354,2.98
239,1.0
325,1.62
299,2.55
243,3.91
65,3.79
410,1.4
346,2.94
170,4.06
383,3.79
177,2.75
58,3.84
152,4.9
255,1.53
387,2.87
282,4.67
296,1.02
345,2.74
103,2.4
233,3.52
193,4.52
130,1.02
105,4.37
173,2.52
362,4.92
289,2.18
132,4.75
288,4.69
280,3.68
221,1.76
50,2.0
10,2.87
139,4.61
212,1.52
240,2.06
223,3.19
306,1.64
196,4.8
359,3.31
145,2.86
188,1.82
114,2.29
328,2.09
91,4.18
