292,267,18
293,357,17
294,357,91
295,295,74
296,158,53
297,379,84
298,382,78
299,367,16
300,327,34
301,83,34
302,412,7
303,384,30
304,394,5
305,150,26
306,331,9
307,191,38
308,151,23
309,284,58
310,13,47
311,257,21
312,41,29
313,40,37
314,267,40
315,257,80
316,75,14
317,32,77
318,104,64
319,313,41
320,171,54
321,399,71
322,401,90
323,367,3
324,400,30
325,368,19
326,167,5
327,389,4
328,341,74
329,352,100
330,401,46
331,30,2
332,40,95
333,356,89
334,128,45
335,378,72
336,57,72
337,110,16
338,63,5
339,9,53
340,163,39
341,369,84
342,61,51
343,39,22
344,389,99
345,381,46
346,220,63
347,367,43
348,256,75
349,92,11
350,302,23
351,357,8
352,275,24
353,116,77
354,367,85
355,376,54
356,37,65
357,370,67
358,122,80
359,219,73
360,63,11
361,28,75
362,135,4
363,182,78
364,332,4
365,87,48
366,142,50
367,37,50
368,344,69
369,53,97
370,73,45
371,102,29
372,351,63
373,284,19
374,360,16
375,348,14
376,218,28
377,244,20
378,278,1
379,369,72
380,315,6
381,102,92
382,291,101
383,303,9
384,127,74
385,229,56
386,176,65
387,314,71
388,93,52
389,5,8
390,297,52
391,7,74
392,331,56
393,133,61
394,254,40
395,368,38
396,226,25
397,208,36
398,0,51
399,181,61
400,62,20
401,160,53
402,246,32
403,171,87
404,356,65
405,409,75
406,340,73
407,20,15
408,181,3
409,22,66
410,119,32
411,187,2
412,351,73
413,187,77
414,122,100
415,312,76
416,205,44
417,295,55
418,404,48
419,385,16
420,315,90
421,192,55
422,340,71
423,279,101
424,245,33
425,312,8
426,273,65
427,154,50
428,18,41
429,142,38
430,60,64
431,78,40
432,218,45
433,62,66
434,192,65
435,308,86
436,414,29
437,75,91
438,298,68
439,167,98
440,326,17
441,175,73
442,405,51
443,76,16
444,396,17
445,363,22
446,1,81
447,140,61
448,292,47
449,16,51
450,311,51
451,377,25
452,222,12
453,38,10
454,153,61
455,367,99
456,327,26
457,224,64
458,138,97
459,211,68
460,264,53
461,46,86
462,94,16
463,25,94
464,214,9
465,143,37
466,66,27
467,402,90
468,371,10
469,83,22
470,332,85
471,168,51
472,377,92
473,209,85
474,73,84
475,238,86
476,404,76
477,381,66
478,30,15
479,366,48
480,318,80
481,79,4
482,205,28
483,381,11
484,3,73
485,268,37
